"('Arabellapark', 'Karlsplatz', 0.002818906874411197, 3.002818906874411)",1,0
"('Milbertshofen', 'Olympia Einkaufszentrum', 0.017663618591053105, 3.0176636185910533)",1,0
"('Westpark', 'Theresienstrasse', 0.02681652329197756, 3.0268165232919775)",2,0
"('Neuperlach Zentrum', 'Olympia Einkaufszentrum', 0.0053182801852576424, 3.0053182801852576)",2,0
"('Trudering', 'Rotkreuzplatz', 0.02624020290098221, 3.0262402029009823)",1,0
"('Westpark', 'Theresienstrasse', 0.028862844021155444, 3.0288628440211554)",1,0
"('Rotkreuzplatz', 'Theresienstrasse', 0.054891281329339923, 3.05489128132934)",2,0
"('Studentenstadt', 'Klinikum Grosshadern', 0.05117334506419298, 3.051173345064193)",1,0
"('Sendlinger Tor', 'Theresienstrasse', 0.015524398141079978, 3.01552439814108)",1,0
"('Olympia Einkaufszentrum', 'Neuperlach Zentrum', 0.06419868309226244, 3.0641986830922625)",2,0
"('Ostbahnhof', 'Klinikum Grosshadern', 0.038207729006993936, 3.0382077290069938)",1,0
"('Ostbahnhof', 'Olympia Einkaufszentrum', 0.045944770303112246, 3.0459447703031124)",2,0
"('Pasing', 'Heimeranplatz', 0.006159084099061258, 3.0061590840990613)",1,0
"('Heimeranplatz', 'Pasing', 0.02077340840632116, 3.0207734084063214)",1,0
"('Arabellapark', 'Klinikum Grosshadern', 0.08199398609716227, 3.0819939860971624)",1,0
"('Klinikum Grosshadern', 'Sendlinger Tor', 0.024561029913410203, 3.0245610299134102)",2,0
"('Milbertshofen', 'Ostbahnhof', 0.08540570447793967, 3.0854057044779397)",1,0
"('Klinikum Grosshadern', 'Ostbahnhof', 0.016882177309629716, 3.01688217730963)",1,0
"('Westpark', 'Obersendling', 0.09013423644997773, 3.0901342364499778)",1,0
"('Ostbahnhof', 'Theresienstrasse', 0.08059598373925603, 3.080595983739256)",2,0
"('Studentenstadt', 'Sendlinger Tor', 0.07628929771525556, 3.0762892977152556)",1,0
"('Neuperlach Zentrum', 'Sendlinger Tor', 0.05084683518168491, 3.050846835181685)",2,0
"('Heimeranplatz', 'Theresienstrasse', 0.01720631323032137, 3.0172063132303215)",1,0
"('Sendlinger Tor', 'Studentenstadt', 0.004483110168922207, 3.004483110168922)",1,0
"('Ostbahnhof', 'Munchner Freiheit', 0.031047922330306364, 3.0310479223303064)",1,0
