"('Giesing', 'Theresienstrasse', 0.16797577323378546, 3.1679757732337857)",1,0
"('Obersendling', 'Laim', 0.06536109508999359, 3.0653610950899934)",1,0
"('Sendlinger Tor', 'Rotkreuzplatz', 0.2591200991186763, 3.259120099118676)",1,0
"('Feldmoching', 'Milbertshofen', 0.2276525569581327, 3.227652556958133)",1,0
"('Westpark', 'Obersendling', 0.010442775862798542, 3.0104427758627987)",1,0
"('Karlsplatz', 'Obersendling', 0.15113877171357895, 3.151138771713579)",1,0
"('Sendlinger Tor', 'Laim', 0.29492710156410856, 3.2949271015641086)",1,0
"('Hauptbahnhof', 'Milbertshofen', 0.19603624261216995, 3.19603624261217)",1,0
"('Theresienstrasse', 'Studentenstadt', 0.2977643400578444, 3.2977643400578445)",1,0
"('Laim', 'Ostbahnhof', 0.07650327646043063, 3.0765032764604308)",1,0
"('Studentenstadt', 'Olympia Einkaufszentrum', 0.22548067927002602, 3.225480679270026)",1,0
"('Munchner Freiheit', 'Rotkreuzplatz', 0.03324516281614402, 3.033245162816144)",1,0
"('Scheidplatz', 'Klinikum Grosshadern', 0.09406153330848074, 3.094061533308481)",1,0
"('Laim', 'Mangfallplatz', 0.2595165575597709, 3.259516557559771)",1,0
"('Westpark', 'Trudering', 0.024606676072124536, 3.0246066760721244)",1,0
"('Olympia Einkaufszentrum', 'Theresienstrasse', 0.24439004304698844, 3.2443900430469883)",1,0
"('Olympia Einkaufszentrum', 'Theresienstrasse', 0.285396257516293, 3.285396257516293)",1,0
"('Arabellapark', 'Studentenstadt', 0.20253105978074917, 3.2025310597807493)",1,0
"('Pasing', 'Neuperlach Zentrum', 0.04816869810850943, 3.048168698108509)",1,0
"('Munchner Freiheit', 'Neuperlach Zentrum', 0.019227906619129514, 3.0192279066191294)",1,0
"('Pasing', 'Laim', 0.12359293882552568, 3.1235929388255257)",1,0
"('Rotkreuzplatz', 'Heimeranplatz', 0.022301187534739347, 3.0223011875347394)",1,0
"('Heimeranplatz', 'Obersendling', 0.12627102507366708, 3.126271025073667)",1,0
"('Klinikum Grosshadern', 'Milbertshofen', 0.25247427726842103, 3.252474277268421)",1,0
"('Trudering', 'Laim', 0.21944936413397959, 3.2194493641339794)",1,0
"('Hauptbahnhof', 'Harras', 0.15656922440084822, 3.1565692244008483)",1,0
"('Pasing', 'Theresienstrasse', 0.26682526051823985, 3.2668252605182397)",1,0
"('Pasing', 'Milbertshofen', 0.12674672019783328, 3.126746720197833)",1,0
"('Pasing', 'Klinikum Grosshadern', 0.18909063281684554, 3.1890906328168453)",1,0
"('Laim', 'Olympia Einkaufszentrum', 0.13627859748509966, 3.1362785974850995)",1,0
"('Milbertshofen', 'Scheidplatz', 0.21315311189677288, 3.213153111896773)",1,0
"('Sendlinger Tor', 'Studentenstadt', 0.28545320272353203, 3.285453202723532)",1,0
"('Munchner Freiheit', 'Hauptbahnhof', 0.007361681689910985, 3.007361681689911)",1,0
"('Munchner Freiheit', 'Neuperlach Zentrum', 0.12326292660649948, 3.1232629266064995)",1,0
"('Scheidplatz', 'Trudering', 0.260546510500719, 3.2605465105007188)",1,0
"('Scheidplatz', 'Hauptbahnhof', 0.04889208113979946, 3.0488920811397993)",1,0
"('Arabellapark', 'Sendlinger Tor', 0.21131380278398149, 3.2113138027839816)",1,0
"('Sendlinger Tor', 'Theresienstrasse', 0.02838068616923913, 3.028380686169239)",1,0
"('Neuperlach Zentrum', 'Hauptbahnhof', 0.05293472274911984, 3.0529347227491197)",1,0
"('Klinikum Grosshadern', 'Munchner Freiheit', 0.16802971355918925, 3.1680297135591893)",1,0
"('Feldmoching', 'Ostbahnhof', 0.2845963942328804, 3.2845963942328806)",1,0
"('Pasing', 'Giesing', 0.25442733371206533, 3.2544273337120653)",1,0
"('Karlsplatz', 'Theresienstrasse', 0.05084928156457036, 3.0508492815645702)",1,0
"('Hauptbahnhof', 'Studentenstadt', 0.07620778925324075, 3.0762077892532407)",1,0
"('Innsbrucker Ring', 'Trudering', 0.08710779025295713, 3.0871077902529573)",1,0
"('Neuperlach Zentrum', 'Arabellapark', 0.321332346089293, 3.321332346089293)",1,0
"('Rotkreuzplatz', 'Hauptbahnhof', 0.08723743191889895, 3.087237431918899)",1,0
"('Heimeranplatz', 'Rotkreuzplatz', 0.30106452229552805, 3.301064522295528)",1,0
"('Klinikum Grosshadern', 'Giesing', 0.24883577228263803, 3.248835772282638)",1,0
"('Olympia Einkaufszentrum', 'Neuperlach Zentrum', 0.34853861488937726, 3.348538614889377)",1,0
"('Milbertshofen', 'Harras', 0.05713498703514503, 3.057134987035145)",1,0
"('Neuperlach Zentrum', 'Mangfallplatz', 0.11581635487188016, 3.11581635487188)",1,0
"('Harras', 'Karlsplatz', 0.17043062164476117, 3.170430621644761)",1,0
"('Innsbrucker Ring', 'Karlsplatz', 0.2910407841687997, 3.2910407841688)",1,0
"('Westpark', 'Ostbahnhof', 0.37976775308979366, 3.379767753089794)",1,0
"('Karlsplatz', 'Harras', 0.1842741505927612, 3.184274150592761)",1,0
"('Ostbahnhof', 'Laim', 0.13302897096545957, 3.1330289709654595)",1,0
"('Feldmoching', 'Trudering', 0.18572370255213994, 3.18572370255214)",1,0
"('Laim', 'Munchner Freiheit', 0.029072366510856176, 3.029072366510856)",1,0
"('Theresienstrasse', 'Milbertshofen', 0.06880274960198428, 3.0688027496019843)",1,0
"('Mangfallplatz', 'Heimeranplatz', 0.2574883315221535, 3.2574883315221537)",1,0
"('Laim', 'Ostbahnhof', 0.2833799183279041, 3.283379918327904)",1,0
"('Neuperlach Zentrum', 'Karlsplatz', 0.01975389917333553, 3.0197538991733355)",1,0
"('Heimeranplatz', 'Hauptbahnhof', 0.17601132787248427, 3.176011327872484)",1,0
"('Studentenstadt', 'Klinikum Grosshadern', 0.029635503594856682, 3.029635503594857)",1,0
"('Sendlinger Tor', 'Scheidplatz', 0.36444747372011477, 3.364447473720115)",1,0
"('Studentenstadt', 'Obersendling', 0.0633822559755284, 3.0633822559755286)",1,0
"('Feldmoching', 'Heimeranplatz', 0.4213325767534317, 3.4213325767534317)",1,0
"('Scheidplatz', 'Feldmoching', 0.343567730562316, 3.343567730562316)",1,0
"('Sendlinger Tor', 'Westpark', 0.21302432323779055, 3.2130243232377906)",1,0
"('Laim', 'Klinikum Grosshadern', 0.14031304577057527, 3.1403130457705752)",1,0
"('Innsbrucker Ring', 'Milbertshofen', 0.2751016101573553, 3.275101610157355)",1,0
"('Sendlinger Tor', 'Karlsplatz', 0.015987642206242273, 3.0159876422062424)",1,0
"('Studentenstadt', 'Klinikum Grosshadern', 0.22946954219695545, 3.2294695421969553)",1,0
"('Giesing', 'Ostbahnhof', 0.30116166298634023, 3.30116166298634)",1,0
"('Innsbrucker Ring', 'Westpark', 0.34632182242093906, 3.346321822420939)",1,0
"('Studentenstadt', 'Neuperlach Zentrum', 0.056214148183375105, 3.056214148183375)",1,0
"('Heimeranplatz', 'Pasing', 0.155101654593187, 3.155101654593187)",1,0
"('Giesing', 'Mangfallplatz', 0.3082170592618039, 3.308217059261804)",1,0
"('Feldmoching', 'Scheidplatz', 0.3811729955124258, 3.3811729955124257)",1,0
"('Ostbahnhof', 'Olympia Einkaufszentrum', 0.36820878091798515, 3.368208780917985)",1,0
"('Scheidplatz', 'Feldmoching', 0.4334180646078449, 3.433418064607845)",1,0
"('Studentenstadt', 'Sendlinger Tor', 0.33761751037161486, 3.337617510371615)",1,0
"('Harras', 'Scheidplatz', 0.1893549686438936, 3.189354968643894)",1,0
"('Heimeranplatz', 'Innsbrucker Ring', 0.21259603897957724, 3.2125960389795774)",1,0
"('Feldmoching', 'Klinikum Grosshadern', 0.2520402310044486, 3.2520402310044485)",1,0
"('Harras', 'Neuperlach Zentrum', 0.11746563125530171, 3.1174656312553015)",1,0
"('Milbertshofen', 'Ostbahnhof', 0.32843661100608923, 3.3284366110060892)",1,0
"('Giesing', 'Arabellapark', 0.009877262706938854, 3.009877262706939)",1,0
"('Harras', 'Neuperlach Zentrum', 0.16652673830504572, 3.1665267383050457)",1,0
"('Milbertshofen', 'Karlsplatz', 0.26812306854941514, 3.268123068549415)",1,0
"('Sendlinger Tor', 'Rotkreuzplatz', 0.4489185145037913, 3.4489185145037915)",1,0
"('Mangfallplatz', 'Heimeranplatz', 0.26147514025524804, 3.261475140255248)",1,0
"('Karlsplatz', 'Hauptbahnhof', 0.17696334953663445, 3.1769633495366345)",1,0
"('Milbertshofen', 'Pasing', 0.41302943695393884, 3.4130294369539387)",1,0
"('Innsbrucker Ring', 'Ostbahnhof', 0.3988061000418347, 3.398806100041835)",1,0
"('Harras', 'Milbertshofen', 0.031180288126406525, 3.0311802881264067)",1,0
"('Mangfallplatz', 'Theresienstrasse', 0.4342467513013356, 3.4342467513013357)",1,0
"('Karlsplatz', 'Sendlinger Tor', 0.0208937677008723, 3.0208937677008723)",1,0
"('Pasing', 'Arabellapark', 0.3332430618419358, 3.333243061841936)",1,0
"('Mangfallplatz', 'Munchner Freiheit', 0.5267190872772601, 3.52671908727726)",1,0
"('Giesing', 'Westpark', 0.14884061584984826, 3.1488406158498483)",1,0
"('Theresienstrasse', 'Neuperlach Zentrum', 0.09672791134893616, 3.0967279113489363)",1,0
"('Olympia Einkaufszentrum', 'Ostbahnhof', 0.05089697374030951, 3.0508969737403095)",1,0
"('Studentenstadt', 'Arabellapark', 0.326998678301062, 3.326998678301062)",1,0
"('Olympia Einkaufszentrum', 'Westpark', 0.10244715834508927, 3.102447158345089)",1,0
"('Innsbrucker Ring', 'Obersendling', 0.009259898253068355, 3.0092598982530685)",1,0
"('Laim', 'Heimeranplatz', 0.48849151355608317, 3.4884915135560832)",1,0
"('Hauptbahnhof', 'Olympia Einkaufszentrum', 0.07689716073579941, 3.0768971607357996)",1,0
"('Feldmoching', 'Westpark', 0.13147777155451754, 3.1314777715545175)",1,0
"('Olympia Einkaufszentrum', 'Mangfallplatz', 0.11588015834904584, 3.1158801583490456)",1,0
"('Innsbrucker Ring', 'Pasing', 0.3966298003465341, 3.3966298003465343)",1,0
"('Olympia Einkaufszentrum', 'Innsbrucker Ring', 0.4790267867078353, 3.479026786707835)",1,0
"('Pasing', 'Obersendling', 0.2973814043900086, 3.2973814043900087)",1,0
"('Arabellapark', 'Giesing', 0.05951106722728551, 3.0595110672272856)",1,0
"('Olympia Einkaufszentrum', 'Mangfallplatz', 0.21021832781244953, 3.2102183278124494)",1,0
"('Obersendling', 'Karlsplatz', 0.1794887392708154, 3.1794887392708153)",1,0
"('Westpark', 'Scheidplatz', 0.0011516547264971931, 3.001151654726497)",1,0
"('Klinikum Grosshadern', 'Arabellapark', 0.13206970282399644, 3.1320697028239963)",1,0
"('Hauptbahnhof', 'Mangfallplatz', 0.16824442840867623, 3.168244428408676)",1,0
"('Pasing', 'Heimeranplatz', 0.2383872536014759, 3.2383872536014757)",1,0
"('Milbertshofen', 'Trudering', 0.3195108528285496, 3.3195108528285497)",1,0
"('Arabellapark', 'Studentenstadt', 0.2512985280871062, 3.2512985280871063)",1,0
"('Trudering', 'Ostbahnhof', 0.35091531058866354, 3.3509153105886638)",1,0
"('Theresienstrasse', 'Rotkreuzplatz', 0.283105190188076, 3.283105190188076)",1,0
"('Sendlinger Tor', 'Neuperlach Zentrum', 0.29397849414175997, 3.29397849414176)",1,0
"('Scheidplatz', 'Rotkreuzplatz', 0.2487395506175422, 3.2487395506175423)",1,0
"('Hauptbahnhof', 'Laim', 0.03216890589171315, 3.032168905891713)",1,0
"('Obersendling', 'Rotkreuzplatz', 0.43174947292353, 3.43174947292353)",1,0
"('Heimeranplatz', 'Hauptbahnhof', 0.20831024434758844, 3.2083102443475884)",1,0
"('Arabellapark', 'Olympia Einkaufszentrum', 0.4345577025483424, 3.4345577025483425)",1,0
"('Studentenstadt', 'Mangfallplatz', 0.14490637080745158, 3.1449063708074516)",1,0
"('Westpark', 'Heimeranplatz', 0.20462540591662307, 3.204625405916623)",1,0
"('Trudering', 'Innsbrucker Ring', 0.4432663773436519, 3.443266377343652)",1,0
"('Karlsplatz', 'Harras', 0.4974235984169744, 3.4974235984169746)",1,0
"('Neuperlach Zentrum', 'Innsbrucker Ring', 0.20040866791998385, 3.2004086679199837)",1,0
"('Arabellapark', 'Innsbrucker Ring', 0.20564928391942572, 3.205649283919426)",1,0
"('Theresienstrasse', 'Laim', 0.09726565654044875, 3.097265656540449)",1,0
"('Hauptbahnhof', 'Heimeranplatz', 0.18177061629122857, 3.1817706162912285)",1,0
