Station,Capacity
Hauptbahnhof,10
Sendlinger Tor,10
Giesing,10
Scheidplatz,10
Theresienstrasse,10
Munchner Freiheit,10
Studentenstadt,10
Arabellapark,10
Karlsplatz,10
Heimeranplatz,10
Ostbahnhof,10
Innsbrucker Ring,10
Neuperlach Zentrum,10
Laim,10
Pasing,10
Olympia Einkaufszentrum,10
Harras,10
Milbertshofen,10
Feldmoching,10
Rotkreuzplatz,10
Obersendling,10
Trudering,10
Westpark,10
Klinikum Grosshadern,10
Mangfallplatz,10
