Theresienstrasse;Mangfallplatz;7200.05516
Munchner Freiheit;Hauptbahnhof;3624.157386
Munchner Freiheit;Sendlinger Tor;3678.850476
Munchner Freiheit;Giesing;7332.190653
Munchner Freiheit;Scheidplatz;1727.87866
Munchner Freiheit;Theresienstrasse;4091.791167
Munchner Freiheit;Munchner Freiheit;0
Munchner Freiheit;Studentenstadt;2877.685847
Munchner Freiheit;Arabellapark;6933.125554
Munchner Freiheit;Karlsplatz;3266.650706
Munchner Freiheit;Heimeranplatz;6015.175531
Munchner Freiheit;Ostbahnhof;5111.975392
Munchner Freiheit;Innsbrucker Ring;6719.04492
Munchner Freiheit;Neuperlach Zentrum;10203.79007
Munchner Freiheit;Laim;8063.711529
Munchner Freiheit;Pasing;11307.42823
Munchner Freiheit;Olympia Einkaufszentrum;10011.49767
Munchner Freiheit;Harras;7047.87277
Munchner Freiheit;Milbertshofen;2870.109864
Munchner Freiheit;Feldmoching;8358.784326
Munchner Freiheit;Rotkreuzplatz;6704.065753
Munchner Freiheit;Obersendling;8816.320739
Munchner Freiheit;Trudering;10348.3028
Munchner Freiheit;Westpark;8614.192395
Munchner Freiheit;Klinikum Grosshadern;12642.83904
Munchner Freiheit;Mangfallplatz;8642.450068
Studentenstadt;Hauptbahnhof;6499.385122
Studentenstadt;Sendlinger Tor;6554.078212
Studentenstadt;Giesing;10207.41839
Studentenstadt;Scheidplatz;4603.106396
Studentenstadt;Theresienstrasse;6967.018903
Studentenstadt;Munchner Freiheit;2877.685847
Studentenstadt;Studentenstadt;0
Studentenstadt;Arabellapark;9808.35329
Studentenstadt;Karlsplatz;6141.878441
Studentenstadt;Heimeranplatz;8890.403267
Studentenstadt;Ostbahnhof;7987.203128
Studentenstadt;Innsbrucker Ring;9594.272656
Studentenstadt;Neuperlach Zentrum;13079.01781
Studentenstadt;Laim;10938.93926
Studentenstadt;Pasing;14182.65597
Studentenstadt;Olympia Einkaufszentrum;12886.72541
Studentenstadt;Harras;9923.100506
Studentenstadt;Milbertshofen;5745.3376
Studentenstadt;Feldmoching;11234.01206
Studentenstadt;Rotkreuzplatz;9579.293489
Studentenstadt;Obersendling;11691.54847
Studentenstadt;Trudering;13223.53053
Studentenstadt;Westpark;11489.42013
Studentenstadt;Klinikum Grosshadern;15518.06678
Studentenstadt;Mangfallplatz;11517.6778
Arabellapark;Hauptbahnhof;6116.743666
Arabellapark;Sendlinger Tor;6171.436756
Arabellapark;Giesing;6402.900792
Arabellapark;Scheidplatz;8658.546103
Arabellapark;Theresienstrasse;7517.226452
Arabellapark;Munchner Freiheit;6933.125554
Arabellapark;Studentenstadt;9808.35329
Arabellapark;Arabellapark;0
Arabellapark;Karlsplatz;5759.236986
Arabellapark;Heimeranplatz;8507.761811
Arabellapark;Ostbahnhof;4182.685531
Arabellapark;Innsbrucker Ring;5789.75506
Arabellapark;Neuperlach Zentrum;9274.500209
Arabellapark;Laim;10556.29781
Arabellapark;Pasing;13800.01451
Arabellapark;Olympia Einkaufszentrum;12504.08395
Arabellapark;Harras;9540.45905
Arabellapark;Milbertshofen;9800.777306
Arabellapark;Feldmoching;15289.45177
Arabellapark;Rotkreuzplatz;9196.652034
Arabellapark;Obersendling;11308.90702
Arabellapark;Trudering;9419.012935
Arabellapark;Westpark;11106.77868
Arabellapark;Klinikum Grosshadern;15135.42532
Arabellapark;Mangfallplatz;11135.03635
Karlsplatz;Hauptbahnhof;357.5066802
Karlsplatz;Sendlinger Tor;1196.023537
Karlsplatz;Giesing;4969.419875
Karlsplatz;Scheidplatz;4124.346281
Karlsplatz;Theresienstrasse;1757.989466
Karlsplatz;Munchner Freiheit;3266.650706
Karlsplatz;Studentenstadt;6141.878441
Karlsplatz;Arabellapark;5759.236986
Karlsplatz;Karlsplatz;0
Karlsplatz;Heimeranplatz;2748.524826
Karlsplatz;Ostbahnhof;3626.064906
Karlsplatz;Innsbrucker Ring;4688.388578
Karlsplatz;Neuperlach Zentrum;8173.133727
Karlsplatz;Laim;4797.060823
Karlsplatz;Pasing;8040.777528
Karlsplatz;Olympia Einkaufszentrum;6744.846964
Karlsplatz;Harras;4562.501171
Karlsplatz;Milbertshofen;5266.577485
Karlsplatz;Feldmoching;10755.25195
Karlsplatz;Rotkreuzplatz;3437.415048
Karlsplatz;Obersendling;6330.949139
Karlsplatz;Trudering;8317.646453
Karlsplatz;Westpark;6128.820796
Karlsplatz;Klinikum Grosshadern;10157.46744
Karlsplatz;Mangfallplatz;6157.078469
Heimeranplatz;Hauptbahnhof;2391.018731
Heimeranplatz;Sendlinger Tor;3229.535588
Heimeranplatz;Giesing;7002.931926
Heimeranplatz;Scheidplatz;6157.858332
Heimeranplatz;Theresienstrasse;3791.501516
Heimeranplatz;Munchner Freiheit;6015.175531
Heimeranplatz;Studentenstadt;8890.403267
Heimeranplatz;Arabellapark;8507.761811
Heimeranplatz;Karlsplatz;2748.524826
Heimeranplatz;Heimeranplatz;0
Heimeranplatz;Ostbahnhof;6374.589732
Heimeranplatz;Innsbrucker Ring;7436.913403
Heimeranplatz;Neuperlach Zentrum;10921.65855
Heimeranplatz;Laim;6830.572874
Heimeranplatz;Pasing;10074.28958
Heimeranplatz;Olympia Einkaufszentrum;8778.359015
Heimeranplatz;Harras;6596.013221
Heimeranplatz;Milbertshofen;7300.089536
Heimeranplatz;Feldmoching;12788.764
Heimeranplatz;Rotkreuzplatz;5470.927098
Heimeranplatz;Obersendling;8364.46119
Heimeranplatz;Trudering;11066.17128
Heimeranplatz;Westpark;8162.332846
Heimeranplatz;Klinikum Grosshadern;12190.97949
Heimeranplatz;Mangfallplatz;8190.590519
Ostbahnhof;Hauptbahnhof;3983.571587
Ostbahnhof;Sendlinger Tor;3616.455032
Ostbahnhof;Giesing;2220.215261
Ostbahnhof;Scheidplatz;6837.39594
Ostbahnhof;Theresienstrasse;5384.054372
Ostbahnhof;Munchner Freiheit;5111.975392
Ostbahnhof;Studentenstadt;7987.203128
Ostbahnhof;Arabellapark;4182.685531
Ostbahnhof;Karlsplatz;3626.064906
Ostbahnhof;Heimeranplatz;6374.589732
Ostbahnhof;Ostbahnhof;0
Ostbahnhof;Innsbrucker Ring;1607.069529
Ostbahnhof;Neuperlach Zentrum;5091.814678
Ostbahnhof;Laim;8423.12573
Ostbahnhof;Pasing;11666.84243
Ostbahnhof;Olympia Einkaufszentrum;10370.91187
Ostbahnhof;Harras;6985.477325
Ostbahnhof;Milbertshofen;7979.627144
Ostbahnhof;Feldmoching;13468.30161
Ostbahnhof;Rotkreuzplatz;7063.479954
Ostbahnhof;Obersendling;8753.925294
Ostbahnhof;Trudering;5236.327404
Ostbahnhof;Westpark;8551.796951
Ostbahnhof;Klinikum Grosshadern;12580.4436
Ostbahnhof;Mangfallplatz;7050.775333
Innsbrucker Ring;Hauptbahnhof;5045.895258
Innsbrucker Ring;Sendlinger Tor;4678.778703
Innsbrucker Ring;Giesing;2140.24893
Innsbrucker Ring;Scheidplatz;8444.465469
Innsbrucker Ring;Theresienstrasse;6446.378044
Innsbrucker Ring;Munchner Freiheit;6719.04492
Innsbrucker Ring;Studentenstadt;9594.272656
Innsbrucker Ring;Arabellapark;5789.75506
Innsbrucker Ring;Karlsplatz;4688.388578
Innsbrucker Ring;Heimeranplatz;7436.913403
Innsbrucker Ring;Ostbahnhof;1607.069529
Innsbrucker Ring;Innsbrucker Ring;0
Innsbrucker Ring;Neuperlach Zentrum;3486.096179
Innsbrucker Ring;Laim;9485.449401
Innsbrucker Ring;Pasing;12729.16611
Innsbrucker Ring;Olympia Einkaufszentrum;11433.23554
Innsbrucker Ring;Harras;8047.800997
Innsbrucker Ring;Milbertshofen;9586.696673
Innsbrucker Ring;Feldmoching;15075.37114
Innsbrucker Ring;Rotkreuzplatz;8125.803626
Innsbrucker Ring;Obersendling;9816.248966
Innsbrucker Ring;Trudering;3630.608905
Innsbrucker Ring;Westpark;9614.120622
Innsbrucker Ring;Klinikum Grosshadern;13642.76727
Innsbrucker Ring;Mangfallplatz;6970.809002
